,카페명,자치구,행정동,카테고리,분위기,이미지 주소
0,로슈베이커리,강남구,개포동,베이글,부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211015_15%2F1634274970944OmAJO_JPEG%2FTwKWIvCVPWy5_rQ3HMEgljo_.jpeg.jpg
1,marron,강남구,개포동,베이글,부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220803_148%2F1659456544997czP21_JPEG%2F653EAEE2-AEAA-4666-866E-358B0C3DBA43.jpeg
2,아하오호,강남구,개포동,"카페,디저트",부드러운 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221108_11%2F1667834802808nhb1u_JPEG%2FBD746CDA-495A-4399-96FF-129052617D76.jpeg
3,스타벅스 대치재경빌딩R점,강남구,개포동,카페,다양한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png
4,요그앤오트,강남구,개포동,"카페,디저트",아늑한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220609_152%2F16547517433242J6La_JPEG%2FYNO_BI-05.jpg
5,드림트레이,강남구,개포동,"카페,디저트",깔끔한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200722_133%2F15954191565867E9SA_JPEG%2FIOB3A7zpbH0loES1oTpPRYvT.jpg
6,더쿤스트,강남구,개포동,"카페,디저트",깔끔한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221216_135%2F16711654718526tzYy_JPEG%2FKakaoTalk_20221216_133521037_02.jpg
7,버터베어베이커리,강남구,개포동,베이글,특별한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211017_279%2F16344237817419IzeL_JPEG%2FFJE9cStim-4BBiKcrpyLjPK0.jpg
8,파리크라상 도곡점,강남구,개포동,베이글,특별한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210111_278%2F1610341398067QOvT9_PNG%2Fimage.png
9,플랫오,강남구,개포동,뷔페,특별한 분위기,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211223_197%2F1640253345590LSOwu_JPEG%2FKakaoTalk_20211223_185255513_02.jpg
